time	WindVelX
1584.0	9.29
1585.0	9.624
1586.0	10.658
1587.0	8.547
1588.0	8.843
1589.0	8.332
1590.0	7.849
1591.0	8.299
1592.0	7.577
1593.0	8.043
1594.0	7.306
1595.0	8.236
1596.0	7.982
1597.0	7.41
1598.0	7.882
1599.0	8.518
1600.0	8.305
1601.0	9.971
1602.0	9.841
1603.0	8.248
1604.0	10.007
1605.0	11.626
1606.0	11.8
1607.0	10.825
1608.0	10.837
1609.0	10.301
1610.0	11.535
1611.0	10.99
1612.0	10.873
1613.0	8.995
1614.0	10.474
1615.0	10.941
1616.0	9.808
1617.0	12.184
1618.0	12.378
1619.0	13.334
1620.0	14.437
1621.0	14.808
1622.0	13.322
1623.0	12.119
1624.0	13.051
1625.0	13.459
1626.0	13.946
1627.0	14.678
1628.0	13.218
1629.0	11.758
1630.0	11.701
1631.0	12.767
1632.0	13.864
1633.0	14.352
1634.0	15.343
1635.0	15.165
1636.0	15.135
1637.0	15.025
1638.0	15.032
1639.0	14.359
1640.0	12.846
1641.0	12.508
1642.0	12.177
1643.0	11.99
